,TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude,species,sites
8482,101027,Pinus pinea :: Italian Stone Pine,1010X Portola Dr,Front Yard : Yard,,,37.7415494342357,-122.45670592621,Pinus,Front Yard 
8483,16331,Pyrus kawakamii :: Evergreen Pear,800X Monterey Blvd,Median : Cutout,3.0,5,37.7316082025531,-122.453419021963,Pyrus,Median 
8484,3306,Platanus x hispanica :: Sycamore: London Plane,4844 California St,Sidewalk: Curb side : Cutout,25.0,3X3,37.784738153030894,-122.469643374035,Platanus,Sidewalk
8485,23317,Lophostemon confertus :: Brisbane Box,1050X Van Ness Ave,Median : Cutout,6.0,3X3,37.78525931520029,-122.42113467265499,Lophostemon,Median 
8486,89066,Laurus nobilis :: Sweet Bay: Grecian Laurel,656 18th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.7757996372707,-122.476819108153,Laurus,Sidewalk
8487,90736,Yucca gloriosa :: Spanish Dagger,4501X Cabrillo St,Sidewalk: Curb side : Cutout,3.0,3x3,37.77332154692,-122.507102237161,Yucca,Sidewalk
8488,24637,Pyrus calleryana 'New Bradford' :: New Bradford Pear,425 Divisadero St,Sidewalk: Curb side : Cutout,3.0,3X3,37.773264618286,-122.437583765683,Pyrus,Sidewalk
8489,93396,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',3033 Turk Blvd,Sidewalk: Curb side : Cutout,3.0,3x3,37.7774414166072,-122.455772138027,Tristaniopsis,Sidewalk
8490,29076,Jacaranda mimosifolia :: Jacaranda,2299X Bryant St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7576346655719,-122.409495172566,Jacaranda,Sidewalk
8491,14296,Platanus x hispanica :: Sycamore: London Plane,2174 Market St,Sidewalk: Curb side : Cutout,12.0,4X4,37.766449372486896,-122.430526133351,Platanus,Sidewalk
8492,617,Ficus nitida :: Laurel Fig,3141X 24th St,Sidewalk: Curb side : Cutout,18.0,3x3,37.7523835952977,-122.41496254106501,Ficus,Sidewalk
8493,10320,Hymenosporum flavum :: Sweet Shade,758 Haight St,Sidewalk: Curb side : Cutout,25.0,3X3,37.771683734938996,-122.43463099668699,Hymenosporum,Sidewalk
8494,1911,Corymbia ficifolia :: Red Flowering Gum,51 Beideman St,Sidewalk: Curb side : Cutout,12.0,3X3,37.7820882026707,-122.438449125298,Corymbia,Sidewalk
